Hashtags,Text,FavCount,Language,Place,UserLocation,RetweetCount,Sentiment,Polarity
,_Ÿ‘Œ_Ÿè__Ÿ‘è_Ÿè_ https://t.co/0edq3yjrpO,2,und,,"kigali,Rwanda",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,Loving #WITBragDay. So many wonderful lives. Made my day.,7,en,,"New Delhi, India",2,"Sentiment(polarity=0.7000000000000001, subjectivity=0.8166666666666668)",positive
WITBragDay Respect IAppreciateYou Excellence,#WITBragDay #Respect #IAppreciateYou #Excellence https://t.co/aCdb0V78qH,2,und,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,What an awesome legacy! https://t.co/JKhQZSYcpB,0,en,"West Midlands, England","Telford, England",0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
WITBragDay n2women womenintech womeninSTEM,"Loving getting to know so many wonderful, inspiring, talented women #WITBragDay #n2women #womenintech #womeninSTEM",2,en,,,0,"Sentiment(polarity=0.6599999999999999, subjectivity=0.8700000000000001)",positive
WITBragDay,I'm so happy to see Women in Tech on #WITBragDay but make it part of real life! One brag a week will lead to promotions &amp; salary raises _Ÿ™è,3,en,,"London, England",1,"Sentiment(polarity=0.5, subjectivity=0.65)",positive
WITBragDay,Yes this was great! #WITBragDay should be monthly at least! https://t.co/wkSFHHKVua,3,en,,"Gothenburg, Sweden",0,"Sentiment(polarity=0.25, subjectivity=0.575)",positive
,"If you are a .NET developer and you don't know Tess's work on debugging, you should. She should be better known. https://t.co/o8oTwtPIMY",27,en,,London,10,"Sentiment(polarity=0.25, subjectivity=0.25)",positive
WITBragDay UX UXAustralia,"Wow! I'm loving the stories from #WITBragDay tag. Truly uplifting stuff! I'm sure #UX &amp; #UXAustralia @UXAustralia tweeps will too!",4,en,"Melbourne, Victoria","Melbourne, Australia ",1,"Sentiment(polarity=0.39999999999999997, subjectivity=0.9462962962962962)",positive
WITBragDay,And this wonderful person works for @Praqma in Stockholm! #WITBragDay https://t.co/zW2TPHLlR9,7,en,"Copenhagen, Denmark","Copenhagen, Denmark",0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
WITBragDay,"Oh wait I have! Everytime you drink packaged milk or juice, know that I have a little contribution in its making. #WITBragDay",10,en,,in my head,0,"Sentiment(polarity=-0.1875, subjectivity=0.5)",negative
,_Ÿ’ª_Ÿ’ª https://t.co/Ea4qGGjDwa,0,und,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Gratitude https://t.co/fwYfqZThW2,1,en,,New Delhi,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,I'm loving the #WITBragDay. After this week in tech fabulous to see these women stand up and celebrate their achievements.,5,en,,"Sydney, Australia",2,"Sentiment(polarity=0.5, subjectivity=0.975)",positive
WITBragDay WIT InAwe,#WITBragDay : A great inspirational thread for all Women in Tech #WIT #InAwe https://t.co/NYWAySCzJl,5,en,,"Paris, France",2,"Sentiment(polarity=0.65, subjectivity=0.875)",positive
,"I'm happy for you But weren't your fellow countrymen afraid you would get VVF as a teenage Mum ? https://t.co/UxzGXMncQK",0,en,,,0,"Sentiment(polarity=0.0666666666666667, subjectivity=0.6333333333333333)",positive
,you show get lifetime achievement award :) https://t.co/qnTpYPNLdT,0,en,,,0,"Sentiment(polarity=0.5, subjectivity=1.0)",positive
WITBragDay,#WITBragDay BEST Hashtag ever! I love you women! https://t.co/62frrbgLVE,5,en,,"North Carolina, USA",1,"Sentiment(polarity=0.75, subjectivity=0.44999999999999996)",positive
